"Datum" "Incidens"
2020-02-17 1
2020-02-18 0
2020-02-19 0
2020-02-20 0
2020-02-21 0
2020-02-22 0
2020-02-23 0
2020-02-24 0
2020-02-25 0
2020-02-26 0
2020-02-27 1
2020-02-28 2
2020-02-29 1
2020-03-01 0
2020-03-02 1
2020-03-03 10
2020-03-04 21
2020-03-05 22
2020-03-06 36
2020-03-07 21
2020-03-08 29
2020-03-09 64
2020-03-10 26
2020-03-11 32
2020-03-12 42
2020-03-13 31
2020-03-14 18
2020-03-15 17
2020-03-16 34
2020-03-17 35
2020-03-18 58
2020-03-19 66
2020-03-20 84
2020-03-21 71
2020-03-22 59
2020-03-23 99
2020-03-24 105
2020-03-25 154
2020-03-26 132
2020-03-27 176
2020-03-28 147
2020-03-29 150
2020-03-30 171
2020-03-31 209
2020-04-01 205
2020-04-02 218
2020-04-03 246


